"","total","crisis","normal"
"ar",0.224188368921025,0.346799465073916,0.192432568888502
"pred_dfm_alldata",0.894684439970478,0.507669311581577,0.950275642554859
"pred_dfm_after_pre",0.779595057428842,0.471859049363742,0.824952460522426
"pred_dfm_doublepca",0.779595057428842,0.471859049363742,0.824952460522426
"pred_ols",0.370933428757793,0.705836910279619,0.263522400251507
"pred_ms",0.370933428757793,0.705836910279619,0.263522400251507
"pred_qr",0.324632882219474,0.519075489997488,0.272735024666647
"pred_rf",0.393364512494863,0.734003317988504,0.286642534298937
"pred_xgbt",0.405948029067291,0.717759357188163,0.313973521526373
"pred_mrf",0.353382300613708,0.661661898223966,0.256407976262645
"pred_mean",0.317836821021509,0.428081850678282,0.292369619144467
