"","total","crisis","normal"
"ar",0.165281298313106,0.182469758251058,0.161828112834477
"pred_dfm_alldata",0.867269375979054,0.374539633211566,0.931550495091089
"pred_dfm_after_pre",0.79084549673022,0.381310090038047,0.846258040914184
"pred_dfm_doublepca",0.79084549673022,0.381310090038047,0.846258040914184
"pred_ols",0.335041136404425,0.614429937853966,0.249243855874942
"pred_ms",0.335041136404425,0.614429937853966,0.249243855874942
"pred_qr",0.334525268721315,0.619158883157624,0.246189785397738
"pred_rf",0.36701250352315,0.711592903695299,0.253893737226238
"pred_xgbt",0.40573756894802,0.753024990933529,0.297614530537321
"pred_mrf",0.364414891289657,0.72576776869019,0.24156311290167
"pred_mean",0.297530262186842,0.383730635352777,0.278256410135709
