"","total","crisis","normal"
"ar",1.17362943848174,2.44575444056931,0.712250288242905
"pred_dfm_alldata",0.948416167701282,1.51074755836711,0.798851936346818
"pred_dfm_after_pre",NA,4.3676766986918,NA
"pred_dfm_doublepca",1.79915114626663,4.16945981241553,0.750607044922232
"pred_ols",1.15394721588028,1.94028119169114,0.933700344218419
"pred_ms",1.15394721588028,1.94028119169114,0.933700344218419
"pred_qr",1.52291513773573,2.92674036191419,1.06715616094136
"pred_rf",1.19062725434069,2.51692659797831,0.698809528107919
"pred_xgbt",1.17888977344526,2.35566443676475,0.777018465009713
"pred_mrf",1.3165823147059,2.81510216155978,0.7505721354769
"pred_mean",NA,2.08064980665868,NA
