observation_date,CPIAUCSL_PC1,CPIAUCSL
01/01/2001,3.40976,175.9
01/04/2001,3.32491,177.133
01/07/2001,2.67823,177.633
01/10/2001,1.87488,177.5
01/01/2002,1.23176,178.067
01/04/2002,1.31728,179.467
01/07/2002,1.57628,180.433
01/10/2002,2.25352,181.5
01/01/2003,2.97641,183.367
01/04/2003,2.00594,183.067
01/07/2003,2.21689,184.433
01/10/2003,2.00184,185.133
01/01/2004,1.81785,186.7
01/04/2004,2.78587,188.167
01/07/2004,2.67486,189.367
01/10/2004,3.38495,191.4
01/01/2005,3.03517,192.367
01/04/2005,2.92294,193.667
01/07/2005,3.81975,196.6
01/10/2005,3.67468,198.433
01/01/2006,3.69087,199.467
01/04/2006,3.92427,201.267
01/07/2006,3.34012,203.167
01/10/2006,1.9654,202.333
01/01/2007,2.43165,204.317
01/04/2007,2.66529,206.631
01/07/2007,2.34897,207.939
01/10/2007,4.03114,210.49
01/01/2008,4.13704,212.77
01/04/2008,4.31042,215.538
01/07/2008,5.2525,218.861
01/10/2008,1.5958,213.849
01/01/2009,-0.18424,212.378
01/04/2009,-0.94214,213.507
01/07/2009,-1.60696,215.344
01/10/2009,1.48766,217.03
01/01/2010,2.35257,217.374
01/04/2010,1.77527,217.297
01/07/2010,1.20288,217.934
01/10/2010,1.22978,219.699
01/01/2011,2.14822,222.044
01/04/2011,3.34611,224.568
01/07/2011,3.71595,226.033
01/10/2011,3.34473,227.047
01/01/2012,2.82932,228.326
01/04/2012,1.88792,228.808
01/07/2012,1.68486,229.841
01/10/2012,1.90357,231.369
01/01/2013,1.7402,232.299
01/04/2013,1.41472,232.045
01/07/2013,1.50495,233.3
01/10/2013,1.2073,234.163
01/01/2014,1.42991,235.621
01/04/2014,2.08034,236.872
01/07/2014,1.79097,237.478
01/10/2014,1.16401,236.888
01/01/2015,-0.11289,235.355
01/04/2015,0.03701,236.96
01/07/2015,0.15861,237.855
01/10/2015,0.40047,237.837
01/01/2016,0.99184,237.689
01/04/2016,1.11003,239.59
01/07/2016,1.15715,240.607
01/10/2016,1.80698,242.135
01/01/2017,2.58713,243.839
01/04/2017,1.89059,244.12
01/07/2017,1.94494,245.287
01/10/2017,2.10778,247.238
01/01/2018,2.24862,249.322
01/04/2018,2.68679,250.679
01/07/2018,2.60892,251.686
01/10/2018,2.21352,252.711
01/01/2019,1.63002,253.386
01/04/2019,1.82238,255.247
01/07/2019,1.7494,256.089
01/10/2019,2.04859,257.888
01/01/2020,2.1239,258.767
01/04/2020,0.4226,256.326
01/07/2020,1.23095,259.242
01/10/2020,1.22598,261.05
01/01/2021,1.89475,263.67
01/04/2021,4.79728,268.623
01/07/2021,5.26471,272.89
01/10/2021,6.75376,278.68
01/01/2022,8.02353,284.826
01/04/2022,8.59334,291.706
01/07/2022,8.28869,295.509
01/10/2022,7.0908,298.441
01/01/2023,5.74983,301.203
